family,status,count,share,target,examples
fonari,GROUP_REVIEW,251,0.0082,kuzov-i-optika/fonari,А-00437 Фонарь-переноска | А-00728 Компрессор с фонарем | А-00777 Фонари задние 2108-099 (тюнинг-2 шт) | А-00951 Фонарь дорожный | А-00993 Фонарик
Автохимия,AUTO_READY,246,0.008,aksessuary/avtohimiya,"ГСМ-00125 KUDO KU-9006 Лак термостойкий, 520 мл | ГСМ-00129 LAVR 1432 Алмазный полироль фар, 20 мл | ГСМ-00202 Ven well Очиститель тормозов-аэрозоль, 500 мл | ГСМ-00217 Герметик ""ABRO"" (медь) | ГСМ-00221 LAVR 1486 Сверхбыстрый полироль кузова,"
Топливная система,GROUP_REVIEW,241,0.0079,dvigatel-i-transmissiya/toplivnaya-sistema,"Б-00013 Бензобак УАЗ 23602 правый погруж. б/н | Б-00062 Бензобак ИЖ-ОДА 2126 | Б-00074 Бензобак Г-3302 борт., ""Фермер"" (дв.4026,4063,40522) мет. 70 л | ДВ-00063 Бензобак 2110 | ДВ-00136 Тяга нижней части карбюратора 2108"
Амортизаторы,AUTO_READY,240,0.0078,podveska/amortizatory,"ЗЧМ-00217 Амортизатор Москвич 2140 перед., задний | ЗЧМ-00290 Болт заднего амортизатора 2141 | ЗЧМ-00434 Сайлент-блок заднего амортизатора 2141 | ЗЧМ-00594 Ремкомплект переднего амортизатора 2141 | И-00578 Ключ амортизатора"
detali-dvigatelya,GROUP_REVIEW,237,0.0077,dvigatel-i-transmissiya/detali-dvigatelya,"А-01416 Автоодеяло для двигателя | А-01625 ""АВТОТЕПЛО"" утеплитель двигателя | ГСМ-00869 Очист сист впрыска диз двигателей ЛМ-191 | ГСМ-00950 LAVR 2502 Антикокс для двигателя 0.185 л | ГСМ-01006 Быстрый запуск для бенз. карб. и инжект. 2Т и 4Т двигателя"
detali-transmissii,AUTO_READY,230,0.0075,dvigatel-i-transmissiya/detali-transmissii,ЗКГ-00024 Блок шестерён УАЗ | ЗКГ-00048 Привод спидометра ГАЗ 3110 | ЗКГ-00133 Коробка ГАЗ-53 | ЗКГ-00174 Привод спидометра Волга 4-ступ. | ЗКГ-00213 Привод НШ-10
prochaya-podveska,GROUP_REVIEW,219,0.0071,podveska/prochaya-podveska,ЗЧМ-00221 Стабилизатор ИЖ-2126 | ЗЧМ-00314 Стабилизатор 2140 | ЗЧМ-00315 Стабилизатор 2141 | ИН-00462 0523-004 Тяга стабилизатора FORD FOCUS | ИН-00555 Тяга стабилизатора 30929461
Бамперы,AUTO_READY,210,0.0068,kuzov-i-optika/bampery,"А-01459 Защита зад. бампера | А-02018 Спойлер под бампер 2101-07 | Б-00003 Бампер Газель задний | Б-00009 Бампер задний в сборе ГАЗ-3110 | Б-00012 Бампер ГАЗ-31029, 3110 перед., в сборе (ст"
Лампы,GROUP_REVIEW,210,0.0068,elektrika/lampy,"ЭО-00204 Лампочки OSRAM ALS жёлтые, 1 шт | ЭО-00344 Лампы-линзы Н4 ""Автосвет"" | ЭО-00420 Лампочки габаритные (голубые) | ЭО-00558 Лампочки ""Narva"" белый свет Н1, Н3, Н4 | ЭО-00667 Лампочки ""OSRAM"" Н7+ 100%, 2 шт"
Генераторы,AUTO_READY,206,0.0067,elektrika/generatory,ДВГ-00065 Натяжитель генератора ПАЗ 3205 | ЗЧМ-00189 Генератор ИЖ-ОДА | ИН-00071 Генератор Ланос | КР-00279 Натяжитель генератора 2108-015 нов. обр. | КР-00420 Натяжитель генератора 2110 в сборе
ressory,GROUP_REVIEW,205,0.0067,podveska/ressory,ЗЧМ-00133 Отбойник рессор 2140 | КГ-00243 Палец рессор Волга 31105 (1 шт) | КГ-00268 Болт серьги рессоры ГАЗ-31105 в сборе с с | КГ-00574 Болт стяжной передней рессоры Бычок | КГ-01094 Шайба пальца рессоры УАЗ D=25 специальная
Стартеры,AUTO_READY,188,0.0061,elektrika/startery,ЗЧМ-00562 Шпильки стартера Москвич | ЗЧМ-00662 Стартер РЕНО | ИН-00008 Стартер Ланос | ИН-00796 Стартер Дэо Матиз | ИН-00950 Стартер Рено-Логан 8 кл.
detali-dvigatelya,MANUAL_REVIEW,186,0.0061,dvigatel-i-transmissiya/detali-dvigatelya,ДВГ-00500 Держатель сальниковой набивки УАЗ | ДВГ-00709 Крышка коленовала УАЗ зад. под сальник | ЗЧМ-00031 Сальник кожуха 2141 | ПС-00109 Комплект сальников кол.вала 2108-09 | ПСГ-00019 Сальник кол. вала зад дв.260 ЕВР 110х135
kpp,AUTO_READY,184,0.006,dvigatel-i-transmissiya/kpp,ЗЧМ-00101 Вилка коробки Москвич 2141 | КП-00025 Шток кулисы 2108 | КП-00033 Вал вторичный 2110 | КП-00064 Втулка опорная втор. вала 2108 | КП-00068 КП-00068
Рычаги,GROUP_REVIEW,180,0.0059,podveska/rychagi,ЗКГ-00267 Рем. комплект рычага КПП Газ (шайба+пруж | ЗЧМ-00215 Рычаг в сборе 2140 верхний | ЗЧМ-00375 Ось верхнего рычага Москвич | ИН-00218 Рычаг нижний Дэу-Матиз | ИН-00571 J49008000 Рычаг DAEWOO MATIZ/SPARK/TICO п
Инструменты,AUTO_READY,179,0.0058,aksessuary/instrumenty,А-01243 Домкрат реечный 3т (154-1070мм) Сервис ключ | И-00089 Головка свечная | И-00090 Головка 36Х41 усиленная | И-00471 Ключ торц. 19 | И-00686 Головка усиленная на 27
Масляные фильтры,AUTO_READY,178,0.0058,filtry-i-masla/maslyanye-filtry,"ГСМ-00301 Фильтр масляный С 160 Чемпион | ГСМ-00926 Фильтр масляный SCT SM 121 | ГСМ-01105 MANN Фильтр масляный Ford транзит | ГСМ-01114 Фильтр ""Невский"" масляный NF-1020 | ДВГ-01097 Фильтр масляный ГАЗ-3309 (дизель) в сбор"
